,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,1,initialSpoutSleepDuration,10,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-216-1461093931,Number of Workers,49,600,Spid,Tweets , emitt,37264, ack,0, failed,0, completeLatency,0, upTime,1357_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1264_,totall,Spid,Tweets , emitt,27772200, ack,0, failed,0, completeLatency,0, upTime,1357_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1264_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,5,spoutParallesim,30,initialSpoutSleepDuration,0,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,4,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,10,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-289-1461313483,Number of Workers,68,600,Spid,Tweets , emitt,5305, ack,0, failed,0, completeLatency,0, upTime,4477_4479_4477_4477_4478_4481_4483_4478_4480_4481_4478_4480_4478_4477_4481_4479_4478_4474_4481_4480_4477_4477_4482_4481_4481_4477_4480_4477_4481_4480_,Spid,querySource , emitt,11, ack,0, failed,0, completeLatency,0, upTime,1427_,totall,Spid,Tweets , emitt,3687820, ack,0, failed,0, completeLatency,0, upTime,4477_4479_4477_4477_4478_4481_4483_4478_4480_4481_4478_4480_4478_4477_4481_4479_4478_4474_4481_4480_4477_4477_4482_4481_4481_4477_4480_4477_4481_4480_,Spid,querySource , emitt,265320, ack,0, failed,0, completeLatency,0, upTime,1427_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-290-1461317991,Number of Workers,68,600,Spid,Tweets , emitt,6045, ack,0, failed,0, completeLatency,0, upTime,4468_4468_4470_4467_4467_4471_4473_4468_4470_4471_4469_4472_4467_4468_4468_4471_4471_4465_4468_4472_4466_4468_4473_4471_4471_4470_4472_4469_4471_4470_,Spid,querySource , emitt,20, ack,0, failed,0, completeLatency,0, upTime,2901_,totall,Spid,Tweets , emitt,5198020, ack,0, failed,0, completeLatency,0, upTime,4468_4468_4470_4467_4467_4471_4473_4468_4470_4471_4469_4472_4467_4468_4468_4471_4471_4465_4468_4472_4466_4468_4473_4471_4471_4470_4472_4469_4471_4470_,Spid,querySource , emitt,1898460, ack,0, failed,0, completeLatency,0, upTime,2901_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-291-1461322500,Number of Workers,68,600,Spid,Tweets , emitt,6960, ack,0, failed,0, completeLatency,0, upTime,4479_4479_4483_4478_4479_4480_4483_4479_4480_4480_4481_4480_4477_4477_4479_4481_4481_4477_4479_4480_4477_4477_4483_4480_4481_4479_4481_4480_4480_4482_,Spid,querySource , emitt,21, ack,0, failed,0, completeLatency,0, upTime,2535_,totall,Spid,Tweets , emitt,5527640, ack,0, failed,0, completeLatency,0, upTime,4479_4479_4483_4478_4479_4480_4483_4479_4480_4480_4481_4480_4477_4477_4479_4481_4481_4477_4479_4480_4477_4477_4483_4480_4481_4479_4481_4480_4480_4482_,Spid,querySource , emitt,1851820, ack,0, failed,0, completeLatency,0, upTime,2535_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-292-1461327008,Number of Workers,68,600,Spid,Tweets , emitt,10222, ack,0, failed,0, completeLatency,0, upTime,4469_4470_4474_4471_4468_4475_4477_4470_4474_4474_4473_4474_4471_4471_4473_4473_4472_4471_4472_4473_4470_4469_4473_4471_4475_4471_4473_4470_4474_4474_,Spid,querySource , emitt,30, ack,0, failed,0, completeLatency,0, upTime,665_,totall,Spid,Tweets , emitt,8799340, ack,0, failed,0, completeLatency,0, upTime,4469_4470_4474_4471_4468_4475_4477_4470_4474_4474_4473_4474_4471_4471_4473_4473_4472_4471_4472_4473_4470_4469_4473_4471_4475_4471_4473_4470_4474_4474_,Spid,querySource , emitt,18900, ack,0, failed,0, completeLatency,0, upTime,665_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,6,initialSpoutSleepDuration,15,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-327-1461647011,Number of Workers,54,600,Spid,Tweets , emitt,9494, ack,0, failed,0, completeLatency,0, upTime,1483_1483_1483_1480_1483_1483_,Spid,querySource , emitt,154, ack,0, failed,0, completeLatency,0, upTime,1484_,totall,Spid,Tweets , emitt,5698580, ack,0, failed,0, completeLatency,0, upTime,1483_1483_1483_1480_1483_1483_,Spid,querySource , emitt,1528140, ack,0, failed,0, completeLatency,0, upTime,1484_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-33-1462135578,Number of Workers,58,600,Spid,Tweets , emitt,2401, ack,0, failed,0, completeLatency,0, upTime,882_882_882_882_882_882_879_882_879_882_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,882_,totall,Spid,Tweets , emitt,1699400, ack,0, failed,0, completeLatency,0, upTime,882_882_882_882_882_882_879_882_879_882_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,882_,600,Bolt id,BaseLineEvaluator,Emitted,output,351,,Eexecuted,querySource_default,0,Tweets_default,2376,,ExecutedstdquerySource_default,0,Tweets_default,4.6855401183,,Eexecute_Latency,querySource_default,0,Tweets_default,19.4122729931,,minup time,878,maxup time,885,total,Bolt id,BaseLineEvaluator,Emitted,output,243220,,Eexecuted,querySource_default,4600000,Tweets_default,1650060,,ExecutedstdquerySource_default,0,Tweets_default,3302.543700851,,Eexecute_Latency,querySource_default,0.0969043478,Tweets_default,19.4722647406,,minup time,878,maxup time,885
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,6,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-35-1462137291,Number of Workers,58,600,Spid,Tweets , emitt,299, ack,0, failed,0, completeLatency,0, upTime,257_257_257_256_257_257_257_256_257_257_,Spid,querySource , emitt,166, ack,0, failed,0, completeLatency,0, upTime,257_,totall,Spid,Tweets , emitt,181460, ack,0, failed,0, completeLatency,0, upTime,257_257_257_256_257_257_257_256_257_257_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,257_,600,Bolt id,BaseLineEvaluator,Emitted,output,35,,Eexecuted,querySource_default,7666,Tweets_default,251,,ExecutedstdquerySource_default,0,Tweets_default,0.6390519686,,Eexecute_Latency,querySource_default,0.0887956522,Tweets_default,19.9252757443,,minup time,253,maxup time,260,total,Bolt id,BaseLineEvaluator,Emitted,output,21480,,Eexecuted,querySource_default,4600000,Tweets_default,151060,,ExecutedstdquerySource_default,0,Tweets_default,383.4311811778,,Eexecute_Latency,querySource_default,0.0887956522,Tweets_default,19.9252757443,,minup time,253,maxup time,260
