numberOfackers,0,evaluatorParrellism,36,routingParrellism,12,spoutParallesim,25,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-10-1469513600,Number of Workers,75,600,Spid,Tweets , emitt,1285398 , ack,0 , failed,0 , completeLatency,0.0, upTime,627_629_630_627_630_62_176_634_28_628_131_629_633_163_627_46_630_633_629_627_254_630_633_633_630_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,626_,totall,Spid,Tweets , emitt,789455480 , ack,0 , failed,0 , completeLatency,0.0, upTime,627_629_630_627_630_62_176_634_28_628_131_629_633_163_627_46_630_633_629_627_254_630_633_633_630_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,626_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1472315,,ExecutedstdTweets_default,6545.812452290214,,Eexecute_Latency,Tweets_default,0.0014792187018085826,,minup time,627,maxup time,635,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,626,maxup time,636,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,907371280,,ExecutedstdTweets_default,4095680.7707578423,,Eexecute_Latency,Tweets_default,0.0014792187018085826,,minup time,627,maxup time,635,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,626,maxup time,636,
Topology Id, Tornado-10-1469513600,Number of Workers,75,600,Spid,Tweets , emitt,1331422 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_691_693_690_691_125_239_697_88_689_192_693_696_227_687_109_693_696_690_690_317_693_695_696_693_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_,totall,Spid,Tweets , emitt,887328020 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_691_693_690_691_125_239_697_88_689_192_693_696_227_687_109_693_696_690_690_317_693_695_696_693_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,690_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1487975,,ExecutedstdTweets_default,6520.816972567422,,Eexecute_Latency,Tweets_default,0.0014653916142227308,,minup time,689,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,686,maxup time,696,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,999997520,,ExecutedstdTweets_default,4376612.645470112,,Eexecute_Latency,Tweets_default,0.0014756321270342702,,minup time,689,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,686,maxup time,696,
Topology Id, Tornado-10-1469513600,Number of Workers,75,600,Spid,Tweets , emitt,1280628 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_754_757_753_754_188_302_758_152_753_43_756_758_35_751_170_757_758_753_753_26_755_760_760_757_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_,totall,Spid,Tweets , emitt,933332100 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_754_757_753_754_188_302_758_152_753_43_756_758_35_751_170_757_758_753_753_26_755_760_760_757_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,753_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1485619,,ExecutedstdTweets_default,6307.150437577113,,Eexecute_Latency,Tweets_default,0.0014628726045521527,,minup time,750,maxup time,759,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,750,maxup time,759,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1091761560,,ExecutedstdTweets_default,4707159.586675741,,Eexecute_Latency,Tweets_default,0.0014730063906603157,,minup time,750,maxup time,759,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,750,maxup time,759,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,10,spoutParallesim,20,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-11-1469514459,Number of Workers,68,600,Spid,Tweets , emitt,1392883 , ack,0 , failed,0 , completeLatency,0.0, upTime,643_639_642_642_641_641_642_643_642_640_643_643_639_641_643_643_641_645_641_639_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,642_,totall,Spid,Tweets , emitt,873498160 , ack,0 , failed,0 , completeLatency,0.0, upTime,643_639_642_642_641_641_642_643_642_640_643_643_639_641_643_643_641_645_641_639_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,642_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1245616,,ExecutedstdTweets_default,4745.274666842023,,Eexecute_Latency,Tweets_default,0.0014939919371439517,,minup time,638,maxup time,645,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,638,maxup time,645,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,780855900,,ExecutedstdTweets_default,3080602.4140255423,,Eexecute_Latency,Tweets_default,0.0014939919371439517,,minup time,638,maxup time,645,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,638,maxup time,645,
Topology Id, Tornado-11-1469514459,Number of Workers,68,600,Spid,Tweets , emitt,1391535 , ack,0 , failed,0 , completeLatency,0.0, upTime,695_690_694_693_692_692_693_697_693_694_697_693_690_696_694_693_695_695_692_691_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,696_,totall,Spid,Tweets , emitt,942403900 , ack,0 , failed,0 , completeLatency,0.0, upTime,695_690_694_693_692_692_693_697_693_694_697_693_690_696_694_693_695_695_692_691_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,696_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1254422,,ExecutedstdTweets_default,4717.526038914032,,Eexecute_Latency,Tweets_default,0.0014820286822289869,,minup time,692,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,690,maxup time,696,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,847031560,,ExecutedstdTweets_default,3331695.8538954305,,Eexecute_Latency,Tweets_default,0.001488911762078212,,minup time,692,maxup time,696,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,690,maxup time,696,
Topology Id, Tornado-11-1469514459,Number of Workers,68,600,Spid,Tweets , emitt,1382991 , ack,0 , failed,0 , completeLatency,0.0, upTime,757_753_757_756_756_757_755_758_756_754_757_756_753_757_758_756_755_760_755_754_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,756_,totall,Spid,Tweets , emitt,1025038360 , ack,0 , failed,0 , completeLatency,0.0, upTime,757_753_757_756_756_757_755_758_756_754_757_756_753_757_758_756_755_760_755_754_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,756_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,1254917,,ExecutedstdTweets_default,4757.5346396485065,,Eexecute_Latency,Tweets_default,0.0014825146369575038,,minup time,753,maxup time,759,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,753,maxup time,760,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,924213900,,ExecutedstdTweets_default,3658942.1194574805,,Eexecute_Latency,Tweets_default,0.0014867397205160688,,minup time,753,maxup time,759,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,753,maxup time,760,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,7,spoutParallesim,15,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
